,London,Bristol,Liverpool,Manchester,Newcastle,Birmingham,Sheffield,start,end,birth_per_cap
0,240,7,91,41,110,162,20,1948-01-10,1948-01-24,0.0006538461538461539
1,624,8,108,54,59,171,15,1948-01-24,1948-02-07,0.0006538461538461539
2,1160,4,162,126,74,285,10,1948-02-07,1948-02-21,0.0006538461538461539
3,1698,18,381,148,112,399,15,1948-02-21,1948-03-06,0.0006538461538461539
4,2560,19,568,135,139,600,17,1948-03-06,1948-03-20,0.0006538461538461539
5,3141,12,703,148,186,906,15,1948-03-20,1948-04-03,0.0006538461538461539
6,3528,12,829,240,203,968,21,1948-04-03,1948-04-17,0.0006538461538461539
7,2507,18,796,298,172,930,24,1948-04-17,1948-05-01,0.0006538461538461539
8,2037,17,836,318,239,945,35,1948-05-01,1948-05-15,0.0006538461538461539
9,2035,48,794,452,237,1413,59,1948-05-15,1948-05-29,0.0006538461538461539
10,1952,67,684,635,293,1235,76,1948-05-29,1948-06-12,0.0006538461538461539
11,1838,101,441,981,321,1032,83,1948-06-12,1948-06-26,0.0006538461538461539
12,1560,116,261,986,300,802,84,1948-06-26,1948-07-10,0.0006538461538461539
13,1187,201,173,923,261,616,115,1948-07-10,1948-07-24,0.0006538461538461539
14,1009,372,93,823,229,487,190,1948-07-24,1948-08-07,0.0006538461538461539
15,717,310,82,605,211,198,233,1948-08-07,1948-08-21,0.0006538461538461539
16,338,179,83,312,130,121,212,1948-08-21,1948-09-04,0.0006538461538461539
17,208,141,46,227,72,64,143,1948-09-04,1948-09-18,0.0006538461538461539
18,174,106,70,228,57,62,147,1948-09-18,1948-10-02,0.0006538461538461539
19,173,175,63,306,43,53,339,1948-10-02,1948-10-16,0.0006538461538461539
20,164,237,74,302,44,54,493,1948-10-16,1948-10-30,0.0006538461538461539
21,242,442,52,321,35,57,726,1948-10-30,1948-11-13,0.0006538461538461539
22,243,629,103,328,16,62,943,1948-11-13,1948-11-27,0.0006538461538461539
23,284,814,115,495,20,60,1183,1948-11-27,1948-12-11,0.0006538461538461539
24,356,817,149,633,14,61,1455,1948-12-11,1948-12-25,0.0006538461538461539
25,404,643,107,624,24,99,1328,1948-12-25,1949-01-08,0.0006538461538461539
26,638,883,149,782,70,131,1172,1949-01-08,1949-01-22,0.0006538461538461539
27,844,468,106,780,30,186,601,1949-01-22,1949-02-05,0.0006538461538461539
28,1305,531,113,916,101,453,447,1949-02-05,1949-02-19,0.0006538461538461539
29,1608,449,228,870,158,710,317,1949-02-19,1949-03-05,0.0006538461538461539
30,2115,339,215,657,134,930,259,1949-03-05,1949-03-19,0.0006538461538461539
31,2505,189,223,535,182,794,180,1949-03-19,1949-04-02,0.0006538461538461539
32,3240,166,264,395,291,870,84,1949-04-02,1949-04-16,0.0006538461538461539
33,3334,76,282,213,312,1017,108,1949-04-16,1949-04-30,0.0006538461538461539
34,2711,73,217,200,337,953,72,1949-04-30,1949-05-14,0.0006538461538461539
35,2213,72,221,128,278,882,64,1949-05-14,1949-05-28,0.0006538461538461539
36,2036,60,283,128,291,983,64,1949-05-28,1949-06-11,0.0006538461538461539
37,1709,64,325,140,385,1070,88,1949-06-11,1949-06-25,0.0006538461538461539
38,1327,50,437,161,244,708,104,1949-06-25,1949-07-09,0.0006538461538461539
39,1013,66,501,138,224,535,100,1949-07-09,1949-07-23,0.0006538461538461539
40,682,89,369,96,113,438,69,1949-07-23,1949-08-06,0.0006538461538461539
41,496,51,209,98,92,358,35,1949-08-06,1949-08-20,0.0006538461538461539
42,278,17,148,39,32,139,38,1949-08-20,1949-09-03,0.0006538461538461539
43,158,15,126,33,40,59,10,1949-09-03,1949-09-17,0.0006538461538461539
44,92,6,109,19,27,39,13,1949-09-17,1949-10-01,0.0006538461538461539
45,68,9,131,16,30,51,15,1949-10-01,1949-10-15,0.0006538461538461539
46,84,8,134,13,15,70,20,1949-10-15,1949-10-29,0.0006538461538461539
47,96,4,168,10,10,57,17,1949-10-29,1949-11-12,0.0006538461538461539
48,71,1,173,7,6,71,18,1949-11-12,1949-11-26,0.0006538461538461539
49,59,1,155,11,10,63,21,1949-11-26,1949-12-10,0.0006538461538461539
50,60,5,298,37,38,105,45,1949-12-10,1949-12-24,0.0006538461538461539
51,79,6,367,21,36,167,45,1949-12-24,1950-01-07,0.0006538461538461539
52,97,1,550,22,57,200,52,1950-01-07,1950-01-21,0.0005534615384615385
53,60,12,592,14,34,160,33,1950-01-21,1950-02-04,0.0005534615384615385
54,80,6,868,9,63,162,44,1950-02-04,1950-02-18,0.0005534615384615385
55,116,3,947,23,68,262,88,1950-02-18,1950-03-04,0.0005534615384615385
56,135,11,997,34,86,354,103,1950-03-04,1950-03-18,0.0005534615384615385
57,152,7,867,60,78,567,168,1950-03-18,1950-04-01,0.0005534615384615385
58,209,9,723,111,98,635,150,1950-04-01,1950-04-15,0.0005534615384615385
59,345,9,610,133,127,596,207,1950-04-15,1950-04-29,0.0005534615384615385
60,344,27,434,106,147,572,138,1950-04-29,1950-05-13,0.0005534615384615385
61,628,16,408,102,220,607,167,1950-05-13,1950-05-27,0.0005534615384615385
62,941,19,326,155,261,876,238,1950-05-27,1950-06-10,0.0005534615384615385
63,1142,17,304,254,348,935,215,1950-06-10,1950-06-24,0.0005534615384615385
64,1271,37,207,271,277,781,181,1950-06-24,1950-07-08,0.0005534615384615385
65,1296,45,171,389,234,579,166,1950-07-08,1950-07-22,0.0005534615384615385
66,1181,46,155,479,153,505,223,1950-07-22,1950-08-05,0.0005534615384615385
67,1138,59,97,447,92,421,258,1950-08-05,1950-08-19,0.0005534615384615385
68,678,76,81,314,69,240,187,1950-08-19,1950-09-02,0.0005534615384615385
69,361,56,65,237,40,109,124,1950-09-02,1950-09-16,0.0005534615384615385
70,347,76,40,268,33,104,91,1950-09-16,1950-09-30,0.0005534615384615385
71,506,226,46,437,18,75,120,1950-09-30,1950-10-14,0.0005534615384615385
72,669,226,18,671,10,121,256,1950-10-14,1950-10-28,0.0005534615384615385
73,983,207,24,774,10,186,264,1950-10-28,1950-11-11,0.0005534615384615385
74,1310,233,27,847,4,268,409,1950-11-11,1950-11-25,0.0005534615384615385
75,2037,338,35,1032,8,324,439,1950-11-25,1950-12-09,0.0005534615384615385
76,2770,458,26,1261,8,405,600,1950-12-09,1950-12-23,0.0005534615384615385
77,3478,617,23,1346,10,537,633,1950-12-23,1951-01-06,0.0005534615384615385
78,5178,649,21,1533,9,553,845,1951-01-06,1951-01-20,0.0005631153846153846
79,4395,418,65,994,14,405,570,1951-01-20,1951-02-03,0.0005631153846153846
80,5297,419,87,898,31,440,588,1951-02-03,1951-02-17,0.0005631153846153846
81,6924,673,119,825,53,691,591,1951-02-17,1951-03-03,0.0005631153846153846
82,6816,839,193,601,81,1152,531,1951-03-03,1951-03-17,0.0005631153846153846
83,5654,797,298,710,192,1705,590,1951-03-17,1951-03-31,0.0005631153846153846
84,4443,840,502,643,179,1720,653,1951-03-31,1951-04-14,0.0005631153846153846
85,2821,505,515,478,209,1703,434,1951-04-14,1951-04-28,0.0005631153846153846
86,1888,428,616,426,261,1688,370,1951-04-28,1951-05-12,0.0005631153846153846
87,1582,354,928,319,480,1563,421,1951-05-12,1951-05-26,0.0005631153846153846
88,1288,316,1018,246,613,1397,356,1951-05-26,1951-06-09,0.0005631153846153846
89,846,226,980,224,536,1064,293,1951-06-09,1951-06-23,0.0005631153846153846
90,565,112,858,216,495,608,280,1951-06-23,1951-07-07,0.0005631153846153846
91,413,91,629,110,374,379,308,1951-07-07,1951-07-21,0.0005631153846153846
92,269,51,533,49,223,265,218,1951-07-21,1951-08-04,0.0005631153846153846
93,162,34,434,40,140,154,150,1951-08-04,1951-08-18,0.0005631153846153846
94,109,13,285,30,64,98,79,1951-08-18,1951-09-01,0.0005631153846153846
95,118,8,220,17,44,62,31,1951-09-01,1951-09-15,0.0005631153846153846
96,76,9,182,20,33,36,11,1951-09-15,1951-09-29,0.0005631153846153846
97,40,3,243,30,15,20,9,1951-09-29,1951-10-13,0.0005631153846153846
98,103,40,270,54,15,33,6,1951-10-13,1951-10-27,0.0005631153846153846
99,118,45,263,58,18,61,7,1951-10-27,1951-11-10,0.0005631153846153846
100,97,46,274,85,19,52,7,1951-11-10,1951-11-24,0.0005631153846153846
101,50,53,266,87,19,61,4,1951-11-24,1951-12-08,0.0005631153846153846
102,46,80,288,93,38,66,4,1951-12-08,1951-12-22,0.0005631153846153846
103,47,41,320,77,12,81,3,1951-12-22,1952-01-05,0.0005631153846153846
104,79,27,469,147,28,66,7,1952-01-05,1952-01-19,0.0005727692307692308
105,85,10,391,190,30,95,17,1952-01-19,1952-02-02,0.0005727692307692308
106,115,21,482,354,19,122,23,1952-02-02,1952-02-16,0.0005727692307692308
107,226,25,563,375,49,175,18,1952-02-16,1952-03-01,0.0005727692307692308
108,371,55,700,443,99,294,16,1952-03-01,1952-03-15,0.0005727692307692308
109,457,41,730,447,119,350,31,1952-03-15,1952-03-29,0.0005727692307692308
110,501,50,653,590,130,356,79,1952-03-29,1952-04-12,0.0005727692307692308
111,504,61,468,571,193,319,161,1952-04-12,1952-04-26,0.0005727692307692308
112,497,59,529,453,261,241,200,1952-04-26,1952-05-10,0.0005727692307692308
113,560,80,517,380,188,183,204,1952-05-10,1952-05-24,0.0005727692307692308
114,849,131,657,382,255,277,348,1952-05-24,1952-06-07,0.0005727692307692308
115,1298,152,597,386,329,188,440,1952-06-07,1952-06-21,0.0005727692307692308
116,1353,200,639,444,371,216,433,1952-06-21,1952-07-05,0.0005727692307692308
117,1396,237,296,507,353,182,389,1952-07-05,1952-07-19,0.0005727692307692308
118,1574,178,346,501,227,205,400,1952-07-19,1952-08-02,0.0005727692307692308
119,1870,155,127,490,234,244,405,1952-08-02,1952-08-16,0.0005727692307692308
