GEOID,NAMELSAD,VDH_Region,VDH_Dist,VDEM_Reg,VHASS_Reg
51775,Salem city,3,Alleghany,6,Near SW
51121,Montgomery County,3,New River,6,Near SW
51735,Poquoson city,5,Peninsula,5,Eastern
51095,James City County,5,Peninsula,5,Eastern
51179,Stafford County,1,Rappahannock,7,Northern
51181,Surry County,4,Crater,5,Central
51085,Hanover County,4,Chickahominy,1,Central
51167,Russell County,3,Cumberland,4,Far SW
51089,Henry County,3,West Piedmont,6,Near SW
51510,Alexandria city,2,Alexandria,7,Northern
51540,Charlottesville city,1,Blue Ridge,3,Northwest
51097,King and Queen County,5,Three Rivers,1,Eastern
51820,Waynesboro city,1,Central Shenandoah,3,Northwest
51063,Floyd County,3,New River,6,Near SW
51119,Middlesex County,5,Three Rivers,5,Eastern
51595,Emporia city,4,Crater,1,Central
51157,Rappahannock County,1,Rappahannock Rapidan,2,Northwest
51009,Amherst County,3,Central Virginia,3,Near SW
51580,Covington city,3,Alleghany,6,Near SW
51057,Essex County,5,Three Rivers,1,Eastern
51027,Buchanan County,3,Cumberland,4,Far SW
51005,Alleghany County,3,Alleghany,6,Near SW
51133,Northumberland County,5,Three Rivers,5,Eastern
51045,Craig County,3,Alleghany,6,Near SW
51029,Buckingham County,4,Piedmont,3,Central
51073,Gloucester County,5,Three Rivers,5,Eastern
51760,Richmond city,4,Richmond,1,Central
51145,Powhatan County,4,Chesterfield,1,Central
51610,Falls Church city,2,Fairfax,7,Northern
51075,Goochland County,4,Chickahominy,1,Central
51137,Orange County,1,Rappahannock Rapidan,2,Northwest
51079,Greene County,1,Blue Ridge,2,Northwest
51141,Patrick County,3,West Piedmont,6,Near SW
51101,King William County,5,Three Rivers,1,Eastern
51113,Madison County,1,Rappahannock Rapidan,2,Northwest
51111,Lunenburg County,4,Piedmont,3,Central
51770,Roanoke city,3,Roanoke City,6,Near SW
51550,Chesapeake city,5,Chesapeake,5,Eastern
51037,Charlotte County,4,Piedmont,3,Central
51093,Isle of Wight County,5,Western Tidewater,5,Eastern
51061,Fauquier County,1,Rappahannock Rapidan,2,Northern
51750,Radford city,3,New River,4,Near SW
51600,Fairfax city,2,Fairfax,7,Northern
51087,Henrico County,4,Henrico,1,Central
51620,Franklin city,5,Western Tidewater,5,Eastern
51660,Harrisonburg city,1,Central Shenandoah,3,Northwest
51530,Buena Vista city,1,Central Shenandoah,6,Northwest
51067,Franklin County,3,West Piedmont,6,Near SW
51127,New Kent County,4,Chickahominy,1,Central
51019,Bedford County,3,Central Virginia,6,Near SW
51077,Grayson County,3,Mount Rogers,4,Far SW
51143,Pittsylvania County,3,Pittsylvania Danville,6,Near SW
51071,Giles County,3,New River,4,Near SW
51197,Wythe County,3,Mount Rogers,4,Far SW
51153,Prince William County,2,Prince William,7,Northern
51169,Scott County,3,Lenowisco,4,Far SW
51036,Charles City County,4,Chickahominy,1,Central
51685,Manassas Park city,2,Prince William,7,Northern
51013,Arlington County,2,Arlington,7,Northern
