pop,name,patch_id
27526,ZCTA5 20105,20105
5073,ZCTA5 20106,20106
42128,ZCTA5 20109,20109
48035,ZCTA5 20110,20110
36264,ZCTA5 20111,20111
25990,ZCTA5 20112,20112
7838,ZCTA5 20115,20115
2591,ZCTA5 20117,20117
9,ZCTA5 20118,20118
4288,ZCTA5 20119,20119
43258,ZCTA5 20120,20120
28120,ZCTA5 20121,20121
15305,ZCTA5 20124,20124
507,ZCTA5 20129,20129
220,ZCTA5 20130,20130
18810,ZCTA5 20132,20132
3652,ZCTA5 20135,20135
32135,ZCTA5 20136,20136
1736,ZCTA5 20137,20137
211,ZCTA5 20139,20139
7407,ZCTA5 20141,20141
630,ZCTA5 20143,20143
1089,ZCTA5 20144,20144
63903,ZCTA5 20147,20147
54125,ZCTA5 20148,20148
22209,ZCTA5 20151,20151
36465,ZCTA5 20152,20152
37151,ZCTA5 20155,20155
5482,ZCTA5 20158,20158
42011,ZCTA5 20164,20164
33290,ZCTA5 20165,20165
12572,ZCTA5 20166,20166
25914,ZCTA5 20169,20169
43610,ZCTA5 20170,20170
50511,ZCTA5 20171,20171
35429,ZCTA5 20175,20175
51823,ZCTA5 20176,20176
7693,ZCTA5 20180,20180
8526,ZCTA5 20181,20181
436,ZCTA5 20184,20184
15143,ZCTA5 20186,20186
18684,ZCTA5 20187,20187
20609,ZCTA5 20190,20190
30224,ZCTA5 20191,20191
12067,ZCTA5 20194,20194
2931,ZCTA5 20197,20197
1854,ZCTA5 20198,20198
58252,ZCTA5 22003,22003
45028,ZCTA5 22015,22015
19634,ZCTA5 22025,22025
16701,ZCTA5 22026,22026
2427,ZCTA5 22027,22027
60220,ZCTA5 22030,22030
35110,ZCTA5 22031,22031
31103,ZCTA5 22032,22032
38724,ZCTA5 22033,22033
183,ZCTA5 22035,22035
18095,ZCTA5 22039,22039
28476,ZCTA5 22041,22041
36744,ZCTA5 22042,22042
25012,ZCTA5 22043,22043
14078,ZCTA5 22044,22044
18639,ZCTA5 22046,22046
9800,ZCTA5 22060,22060
17393,ZCTA5 22066,22066
36839,ZCTA5 22079,22079
30598,ZCTA5 22101,22101
26875,ZCTA5 22102,22102
18377,ZCTA5 22124,22124
797,ZCTA5 22125,22125
7354,ZCTA5 22134,22134
29585,ZCTA5 22150,22150
18631,ZCTA5 22151,22151
30314,ZCTA5 22152,22152
31897,ZCTA5 22153,22153
11494,ZCTA5 22172,22172
24011,ZCTA5 22180,22180
14531,ZCTA5 22181,22181
25985,ZCTA5 22182,22182
0,ZCTA5 22185,22185
73081,ZCTA5 22191,22191
59670,ZCTA5 22192,22192
82060,ZCTA5 22193,22193
38990,ZCTA5 22201,22201
26742,ZCTA5 22202,22202
24841,ZCTA5 22203,22203
53855,ZCTA5 22204,22204
18570,ZCTA5 22205,22205
20716,ZCTA5 22206,22206
34113,ZCTA5 22207,22207
13172,ZCTA5 22209,22209
1482,ZCTA5 22211,22211
4168,ZCTA5 22213,22213
0,ZCTA5 22214,22214
13188,ZCTA5 22301,22301
17985,ZCTA5 22302,22302
14688,ZCTA5 22303,22303
49262,ZCTA5 22304,22304
18377,ZCTA5 22305,22305
34391,ZCTA5 22306,22306
