node,zipcode,population,nVaccCount
0,27030,0,0
1,27041,0,0
2,27048,0,0
3,27103,0,0
4,27104,0,0
5,27106,0,0
6,97914,0,0
7,73127,0,0
8,95843,0,0
9,33604,0,0
10,75154,0,0
11,27205,0,0
12,27214,0,0
13,27215,0,0
14,27260,0,0
15,27265,0,0
16,27278,0,0
17,27288,0,0
18,27292,0,0
19,84401,0,0
20,95917,0,0
21,95966,0,0
22,23085,0,0
23,23086,1484,120
24,23089,1653,139
25,23091,0,0
26,23092,1058,70
27,70510,0,0
28,27311,0,0
29,27315,0,0
30,27316,0,0
31,27320,0,0
32,27360,0,0
33,27377,0,0
34,27379,0,0
35,27401,0,0
36,27405,0,0
37,27406,0,0
38,43605,0,0
39,42633,0,0
40,23093,13282,1116
41,23102,2385,201
42,23103,6631,517
43,23106,2529,183
44,23108,0,0
45,23109,1693,161
46,23110,1584,124
47,23111,37089,3076
48,33830,0,0
49,33837,0,0
50,37745,0,0
51,27407,0,0
52,27408,0,0
53,27410,0,0
54,41472,0,0
55,42701,0,0
56,20158,3514,260
57,20164,37798,3385
58,20165,30506,2503
59,20166,15266,1319
60,92801,0,0
61,23112,51271,4488
62,23113,22668,1880
63,23114,18722,1495
64,23115,1225,137
65,23116,21450,1708
66,23117,9266,755
67,23119,0,0
68,23120,7337,579
69,23123,1063,96
70,23124,3835,325
71,23125,0,0
72,23126,2418,408
73,23128,1266,111
74,23129,0,0
75,23130,0,0
76,23138,0,0
77,37752,0,0
78,33860,0,0
79,42104,0,0
80,27522,0,0
81,27524,0,0
82,31907,0,0
83,94708,0,0
84,20169,24680,1718
85,20170,39929,3217
86,20171,50948,4197
87,20175,34187,2634
88,20176,49201,3766
89,20180,6461,458
90,20181,6778,558
91,23139,25175,2080
92,23140,6661,543
93,23141,6174,433
94,23146,2206,212
95,23148,1104,114
96,23149,0,0
97,23150,11384,978
98,23153,0,0
99,23156,2366,261
100,23161,0,0
101,23163,786,78
102,23168,7046,598
103,23169,630,58
104,23173,0,0
105,33897,0,0
106,76020,0,0
107,20184,0,0
108,20186,15107,1234
109,20187,16544,1362
110,20190,17020,1983
111,43128,0,0
112,20191,28550,3067
113,20194,10773,1069
114,20197,0,0
115,20198,1136,100
116,22003,53360,4859
117,23175,1339,107
118,23176,1831,186
119,23177,2535,332
120,23180,711,58
121,23181,2142,150
122,23185,36904,2900
123,37821,0,0
124,58854,0,0
125,37857,0,0
126,76708,0,0
127,85023,0,0
