,name
0,Accomack
1,Albemarle
2,Alexandria City
3,Alleghany
4,Amelia
5,Amherst
6,Appomattox
7,Arlington
8,Augusta
9,Bath
10,Bedford
11,Bland
12,Botetourt
13,Bristol
14,Brunswick
15,Buchanan
16,Buckingham
17,Buena Vista City
18,Campbell
19,Caroline
20,Carroll
21,Charles City
22,Charlotte
23,Charlottesville City
24,Chesapeake City
25,Chesterfield
26,Clarke
27,Craig
28,Culpeper
29,Cumberland
30,Danville City
31,Dickenson
32,Dinwiddie
33,Emporia City
34,Essex
35,Fairfax
36,Fairfax City
37,Falls Church City
38,Fauquier
39,Floyd
40,Fluvanna
41,Franklin
42,Franklin City
43,Frederick
44,Fredericksburg City
45,Galax City
46,Giles
47,Gloucester
48,Goochland
49,Grayson
50,Greene
51,Greensville
52,Halifax
53,Hampton City
54,Hanover
55,Harrisonburg City
56,Henrico
57,Henry
58,Highland
59,Isle Of Wight
60,James City
61,King And Queen
62,King George
63,King William
64,Lancaster
65,Lee
66,Loudoun
67,Louisa
68,Lunenburg
69,Lynchburg City
70,Madison
71,Manassas City
72,Manassas Park City
73,Martinsville City
74,Mathews
75,Mecklenburg
76,Middlesex
77,Montgomery
78,Nelson
79,New Kent
80,Newport News City
81,Norfolk City
82,Northampton
83,Northumberland
84,Norton City
85,Nottoway
86,Orange
87,Page
88,Patrick
89,Petersburg City
90,Pittsylvania
91,Poquoson City
92,Portsmouth City
93,Powhatan
94,Prince Edward
95,Prince George
96,Prince William
97,Pulaski
98,Radford
99,Rappahannock
100,Richmond
101,Richmond City
102,Roanoke
103,Roanoke City
104,Rockbridge
105,Rockingham
106,Russell
107,Salem
108,Scott
109,Shenandoah
110,Smyth
111,Southampton
112,Spotsylvania
113,Stafford
114,Staunton City
115,Suffolk City
116,Surry
117,Tazewell
118,Virginia Beach City
119,Warren
120,Washington
121,Waynesboro City
122,Westmoreland
123,Williamsburg City
124,Winchester City
125,Wise
126,Wythe
127,York
