name,zipcode,county_num
King William,23086,66
New Kent,23089,83
Middlesex,23092,80
Louisa,23093,71
Goochland,23102,51
Goochland,23103,51
King William,23106,66
Mathews,23109,78
King And Queen,23110,64
Hanover,23111,56
Loudoun,20158,70
Loudoun,20164,70
Loudoun,20165,70
Loudoun,20166,70
Chesterfield,23112,26
Chesterfield,23113,26
Chesterfield,23114,26
Essex,23115,37
Hanover,23116,56
Louisa,23117,71
Chesterfield,23120,26
Buckingham,23123,17
New Kent,23124,83
King And Queen,23126,64
Mathews,23128,78
Prince William,20169,100
Fairfax,20170,38
Fairfax,20171,38
Loudoun,20175,70
Loudoun,20176,70
Loudoun,20180,70
Prince William,20181,100
Powhatan,23139,97
New Kent,23140,83
New Kent,23141,83
Hanover,23146,56
King And Queen,23148,64
Henrico,23150,58
King And Queen,23156,64
Mathews,23163,78
James City,23168,63
Middlesex,23169,80
Fauquier,20186,41
Fauquier,20187,41
Fairfax,20190,38
Fairfax,20191,38
Fairfax,20194,38
Fauquier,20198,41
Fairfax,22003,38
Middlesex,23175,80
Middlesex,23176,80
King And Queen,23177,64
Middlesex,23180,80
King William,23181,66
James City,23185,63
Suffolk City,23434,119
Suffolk City,23435,119
Suffolk City,23436,119
Suffolk City,23437,119
Suffolk City,23438,119
Accomack,23440,0
Accomack,23442,0
Virginia Beach City,23451,123
Virginia Beach City,23452,123
Virginia Beach City,23453,123
Virginia Beach City,23454,123
Virginia Beach City,23455,123
Virginia Beach City,23456,123
Virginia Beach City,23457,123
Virginia Beach City,23462,123
Virginia Beach City,23464,123
Isle Of Wight,23487,62
Accomack,23488,0
Norfolk City,23502,85
Norfolk City,23503,85
Norfolk City,23504,85
Norfolk City,23505,85
Norfolk City,23507,85
Norfolk City,23508,85
Norfolk City,23509,85
Surry,23881,120
Sussex,23882,121
Surry,23883,120
Dinwiddie,23885,35
Brunswick,23887,15
Sussex,23888,121
Brunswick,23889,15
Henry,24055,59
Roanoke,24059,106
Montgomery,24060,81
Botetourt,24064,13
Franklin,24065,44
Botetourt,24066,13
Franklin,24067,44
Pittsylvania,24069,94
Alleghany,24474,3
Augusta,24477,8
Augusta,24479,8
Augusta,24482,8
Rockbridge,24483,108
Augusta,24486,8
Bath,24487,9
Lynchburg City,24501,73
Lynchburg City,24502,73
Lynchburg City,24503,73
Lynchburg City,24504,73
Campbell,24517,19
Halifax,24520,54
Amherst,24521,5
Appomattox,24522,6
Bedford City,24523,11
Pittsylvania,24527,94
Campbell,24528,19
Mecklenburg,24529,79
Pittsylvania,24530,94
Pittsylvania,24531,94
Halifax,24534,54
Bedford,24536,10
Campbell,24538,19
Danville City,24540,33
Danville City,24541,33
Pittsylvania,24549,94
Campbell,24550,19
Bedford,24551,10
Nelson,24553,82
Campbell,24554,19
Rockbridge,24555,108
Bedford,24556,10
Pittsylvania,24557,94
Halifax,24558,54
Albemarle,24562,1
Pittsylvania,24563,94
Pittsylvania,24565,94
Pittsylvania,24566,94
Campbell,24571,19
Amherst,24572,5
Amherst,24574,5
Halifax,24577,54
Rockbridge,24578,108
Rockbridge,24579,108
Pittsylvania,24586,94
Campbell,24588,19
Halifax,24589,54
Albemarle,24590,1
Halifax,24592,54
Appomattox,24593,6
Pittsylvania,24594,94
Halifax,24597,54
Halifax,24598,54
Nelson,24599,82
Tazewell,24601,122
Tazewell,24602,122
Buchanan,24603,16
Tazewell,24605,122
Tazewell,24606,122
Tazewell,24609,122
Tazewell,24613,122
Buchanan,24614,16
Buchanan,24620,16
Tazewell,24622,122
Tazewell,24630,122
Buchanan,24631,16
Buchanan,24634,16
Tazewell,24637,122
Buchanan,24639,16
Tazewell,24641,122
Buchanan,24646,16
Russell,24649,110
Tazewell,24651,122
Nelson,22949,82
Augusta,22952,8
Nelson,22958,82
Albemarle,22959,1
Orange,22960,90
Fluvanna,22963,43
Nelson,22967,82
Greene,22968,53
Bristol,37620,14
Richmond City,23223,105
Richmond City,23224,105
Richmond City,23225,105
Henrico,23226,58
Henrico,23227,58
Henrico,23228,58
Henrico,23229,58
Henrico,23230,58
Henrico,23231,58
Henrico,23233,58
Chesterfield,23234,26
Chesterfield,23235,26
Chesterfield,23236,26
Chesterfield,23237,26
Goochland,23238,51
Henrico,23294,58
Accomack,23301,0
Fairfax,22309,38
Fairfax,22310,38
Alexandria City,22311,2
Fairfax,22312,38
Alexandria City,22314,2
Fairfax,22315,38
Fredericksburg City,22401,47
Stafford,22405,117
Stafford,22406,117
Loudoun,20105,70
Rappahannock,20106,103
Nottoway,23824,89
Southampton,23827,115
Southampton,23829,115
Spotsylvania,22407,116
Spotsylvania,22408,116
Caroline,22427,20
Northumberland,22432,87
Franklin,24137,44
Montgomery,24138,81
Pittsylvania,24139,94
Radford,24141,102
Radford,24142,102
Giles,24147,49
Henry,24148,59
Montgomery,24149,81
Giles,24150,49
Franklin,24151,44
Salem,24153,111
Montgomery,24162,81
Henry,24165,59
Giles,24167,49
Chesterfield,23831,26
Chesterfield,23832,26
Dinwiddie,23833,35
Colonial Heights City,23834,28
Chesterfield,23836,26
Manassas City,20109,75
Patrick,24171,92
Bedford,24174,10
Botetourt,24175,13
Franklin,24176,44
Roanoke,24179,106
Franklin,24184,44
Patrick,24185,92
Bristol,24201,14
Bristol,24202,14
Washington,24210,125
Washington,24211,125
Wise,24216,130
Wise,24219,130
Dickenson,24220,34
Lee,24221,68
Russell,24224,110
Russell,24225,110
Dickenson,24226,34
Dickenson,24228,34
Wise,24230,130
Washington,24236,125
Russell,24237,110
Lee,24243,68
Scott,24244,112
Hampton City,23661,55
Poquoson City,23662,95
Hampton City,23663,55
Southampton,23837,115
Chesterfield,23838,26
Surry,23839,120
Dinwiddie,23840,35
Dinwiddie,23841,35
Prince George,23842,99
Brunswick,23843,15
Southampton,23844,115
Surry,23846,120
Scott,24250,112
Scott,24251,112
Dickenson,24256,34
Russell,24260,110
Lee,24263,68
Lee,24265,68
Russell,24266,110
Dickenson,24269,34
Washington,24270,125
Norton City,24273,88
Lee,24277,68
Wise,24279,130
Russell,24280,110
Lee,24282,68
Wise,24283,130
Scott,24290,112
Grayson,24292,52
Wise,24293,130
Pulaski,24301,101
Smyth,24311,114
Wythe,24312,131
Wythe,24313,131
Bland,24314,12
Bland,24315,12
Carroll,24317,21
Bland,24318,12
Smyth,24319,114
Wythe,24323,131
Pulaski,24324,101
Grayson,24326,52
Hampton City,23664,55
Hampton City,23665,55
Hampton City,23666,55
Emporia City,23847,36
Franklin City,23851,45
Hopewell City,23860,61
Carroll,24328,21
Grayson,24330,52
Galax City,24333,48
Washington,24340,125
Carroll,24343,21
Pulaski,24347,101
Grayson,24348,52
Wythe,24350,131
Carroll,24351,21
Smyth,24354,114
Wythe,24360,131
Washington,24361,125
Grayson,24363,52
Bland,24366,12
Wythe,24368,131
Hampton City,23669,55
York,23690,132
York,23692,132
York,23693,132
Southampton,23866,115
Sussex,23867,121
Brunswick,23868,15
Dinwiddie,23872,35
York,23696,132
Portsmouth City,23701,96
Portsmouth City,23702,96
Portsmouth City,23703,96
Prince George,23875,99
Brunswick,23876,15
Portsmouth City,23704,96
Portsmouth City,23707,96
Prince George,23801,99
Petersburg City,23803,93
Petersburg City,23805,93
Brunswick,23821,15
Nottoway,23930,89
Charlotte,23934,23
Buckingham,23936,17
Charlotte,23937,23
Montgomery,24073,81
Patrick,24076,92
Botetourt,24077,13
