year,rate_1000
2000,12.066000000000001,
1999,12.276999999999999,
1998,12.487,
1997,12.638999999999999,
1996,12.791,
1995,12.942,
1994,13.093999999999999,
1993,13.246,
1992,13.343999999999999,
1991,13.442,
1990,13.541,
1989,13.638999999999999,
1988,13.737,
1987,13.550000000000001,
1986,13.363,
1985,13.176,
1984,12.989000000000001,
1983,12.802,
1982,12.638,
1981,12.474,
1980,12.311,
1979,12.147,
1978,11.983000000000001,
1977,12.292999999999999,
1976,12.603,
1975,12.913,
1974,13.223000000000001,
1973,13.532999999999999,
1972,14.210000000000001,
1971,14.887,
1970,15.563000000000001,
1969,16.239999999999998,
1968,16.917000000000002,
1967,17.193999999999999,
1966,17.469999999999999,
1965,17.747,
1964,18.023,
1963,18.300000000000001,
1962,17.920000000000002,
1961,17.539000000000001,
1960,17.158999999999999,
1959,16.777999999999999,
1958,16.398,
1957,16.146999999999998,
1956,15.896000000000001,
1955,15.645,
1954,15.394,
1953,15.143000000000001,
1952,14.891999999999999,
1951,14.641,
1950,14.390000000000001,
