,index,zip,outflow
0,69,23462,86238587626678.89
1,513,22201,82557378945223.28
2,48,22003,80662710409164.05
3,523,22204,77312648161127.6
4,70,23464,76932700887106.98
5,63,23452,74617256733071.73
6,393,22042,68616964095502.05
7,632,22304,66752650592130.31
8,609,22207,66531055547374.51
9,511,22192,65301494018791.79
10,382,22030,63542513691189.77
11,198,22312,61349640830485.77
12,378,22015,60950944444337.68
13,512,22193,59708820801051.52
14,27,20171,59212362351209.93
15,64,23453,57828440688474.836
16,510,22191,57355932706047.58
17,392,22041,56490845873261.12
18,65,23454,55446165542310.49
19,196,22310,54627340194152.1
20,389,22033,52764698155227.1
21,388,22032,51412718944657.9
22,547,20110,51156343375577.18
23,66,23455,51115495114164.22
24,387,22031,50968197161064.08
25,412,23320,50602604019202.8
26,26,20170,50014735201970.586
27,502,22150,49885156331469.6
28,197,22311,49687769252662.19
29,504,22152,49059993257320.08
30,548,20111,48234090409174.6
31,607,22205,47515858186070.24
32,67,23456,46935678134616.21
33,634,22306,46568341384832.55
34,45,20191,45785200045147.05
35,200,22315,44309477162660.02
36,394,22043,43658495617818.93
37,565,20147,43377767497124.42
38,608,22206,42958277091676.96
39,503,22151,42899630079135.32
40,11,20164,42489644668076.28
41,505,22153,42337575732840.58
42,62,23451,42075134908575.73
43,232,20109,42030982726513.22
44,195,22309,41203827006325.31
45,515,22203,40207937646162.6
46,554,20120,39279769094793.07
47,613,22302,38351931374273.81
48,496,22079,37958474180214.14
49,404,22046,37928898997482.07
50,566,20148,37787314004413.46
51,507,22180,36577714624843.375
52,610,22209,35448109018369.484
53,509,22182,35398558224468.26
54,497,22101,35158303760430.32
55,377,23513,34540563549466.215
56,199,22314,34038881105427.043
57,567,20151,33688002119895.45
58,499,22124,33670167853937.79
59,44,20190,32154442855063.414
60,384,23518,32101429797271.49
61,555,20121,32020701381708.82
62,73,23502,31526136488328.97
63,414,23322,31083994272598.516
64,431,23325,31047332775287.402
65,430,23324,30952866707185.805
66,29,20176,30564800661543.37
67,12,20165,30196640791806.707
68,633,22305,29316640261532.16
69,391,22039,29250068304828.4
70,498,22102,28237343731014.066
71,514,22202,27673434063651.652
72,702,23060,27111245316427.484
73,415,23323,26516881355621.4
74,180,23225,26108906160376.746
75,46,20194,26019079870820.242
76,556,20124,25968894407083.617
77,76,23505,25847100739668.97
78,549,20112,25840546904774.617
79,301,23666,25827783839719.69
80,614,22303,25790294243488.99
81,74,23503,25480082916425.668
82,178,23223,25288797195746.863
83,179,23224,24728827375162.664
84,75,23504,24425394788389.684
85,395,22044,24395289123286.89
86,379,22025,23850178317469.043
87,612,22301,23560082238627.184
88,183,23228,23426963096652.574
