,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,7073.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,1.0,0.0,0.0,0.0,66762.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
5,33.0,13.0,27.0,16.0,21.0,92871.0,88.0,26.0,32.0,0.0,0.0,216.0,3.0,121.0,564.0,200.0,40.0,35.0,15.0,8.0,2.0,31.0,62.0,0.0,45.0,43.0,2.0,8.0,53.0,45.0,0.0,89.0,28.0,0.0,19.0,22.0,0.0,1.0,326.0,6.0,54.0,1.0,14.0,30.0,35.0,2.0,86.0,6.0,29.0,0.0
6,370.0,173.0,348.0,280.0,292.0,32574.0,876.0,362.0,460.0,14.0,23.0,2399.0,28.0,1173.0,5784.0,2512.0,457.0,524.0,295.0,82.0,38.0,367.0,694.0,91.0,567.0,635.0,88.0,79.0,763.0,721.0,5.0,1055.0,361.0,4.0,232.0,339.0,48.0,12.0,3547.0,172.0,580.0,17.0,182.0,372.0,409.0,24.0,896.0,69.0,381.0,57.0
7,4207.0,2130.0,3967.0,2878.0,3198.0,1.0,10572.0,4029.0,5041.0,162.0,435.0,25055.0,386.0,12266.0,57125.0,25466.0,5472.0,5894.0,3319.0,905.0,427.0,4273.0,7769.0,1102.0,6010.0,6638.0,899.0,951.0,8482.0,8047.0,50.0,11566.0,4145.0,59.0,2670.0,3479.0,514.0,160.0,35250.0,1991.0,6542.0,267.0,2218.0,3972.0,4571.0,236.0,10148.0,728.0,4364.0,627.0
8,42485.0,22925.0,40798.0,29260.0,32904.0,1.0,97796.0,40534.0,50892.0,1974.0,5200.0,97584.0,3977.0,98827.0,94151.0,97487.0,54624.0,58416.0,34073.0,9676.0,4466.0,43369.0,73969.0,12122.0,59816.0,64510.0,10110.0,10617.0,80748.0,77163.0,648.0,98942.0,42403.0,510.0,28134.0,36128.0,5567.0,2033.0,96427.0,21602.0,63447.0,3312.0,22718.0,39203.0,45411.0,3128.0,93739.0,8194.0,45035.0,6910.0
9,95760.0,97857.0,96006.0,97106.0,96781.0,1.0,89340.0,95945.0,94927.0,21369.0,52615.0,74729.0,41092.0,87613.0,42306.0,74334.0,94488.0,94071.0,96666.0,91126.0,44745.0,95696.0,92169.0,98898.0,93945.0,93319.0,95654.0,97929.0,91465.0,91908.0,7483.0,88345.0,95827.0,6043.0,97311.0,96499.0,57259.0,21628.0,64424.0,98003.0,93404.0,36517.0,97768.0,95998.0,95394.0,33384.0,89766.0,79547.0,95607.0,69367.0
